gitHubSlug,npmPackageName,abandonedYearMonth
1000hz/bootstrap-validator,bootstrap-validator,2018-06
10xjs/locale-emoji,locale-emoji,2018-04
1337programming/webpack-shell-plugin,webpack-shell-plugin,2017-04
1hella/eslint-config-airbnb-es5,eslint-config-airbnb-es5,2017-09
1N50MN14/html-element,html-element,2017-04
28msec/28,28,2017-05
2createstudio/postcss-sprites,postcss-sprites,2018-09
2fd/command,@2fd/command,2017-06
2graphic/sinap-core,sinap-core,2018-03
3dmind/jest-sonar-reporter,jest-sonar-reporter,2019-11
3five/protium,protium,2017-07
42Zavattas/gulp-css-url-rebase,gulp-css-url-rebase,2017-01
720kb/angular-datepicker,angularjs-datepicker,2017-07
720kb/angular-socialshare,angular-socialshare,2017-07
720kb/angular-tooltips,angular-tooltips,2017-08
75lb/app-usage-stats,app-usage-stats,2017-10
75lb/array-tools,array-tools,2017-01
75lb/cache-point,cache-point,2017-08
75lb/collect-all,collect-all,2020-09
75lb/config-master,config-master,2017-04
75lb/feature-detect-es6,feature-detect-es6,2019-01
75lb/object-get,object-get,2020-02
75lb/req-then,req-then,2017-08
75lb/stream-connect,stream-connect,2017-01
75lb/usage-stats,usage-stats,2017-09
879479119/react-native-shadow,react-native-shadow,2018-02
a-x-/eslint-plugin-coffeescript,eslint-plugin-coffeescript,2019-02
a8m/angular-filter,angular-filter,2018-01
a8m/deep-keys,deep-keys,2018-01
aacerox/node-rest-client,node-rest-client,2017-04
aaivazis/redux-responsive,redux-responsive,2018-12
abaruh/netsuite-suitetalk,netsuite-suitetalk,2018-04
abdullahshahin/vault-auth-aws,vault-auth-aws,2018-10
abersager/redux-persist-cookie-storage,redux-persist-cookie-storage,2018-06
abhishekswain/jasmine2-protractor-utils,jasmine2-protractor-utils,2017-07
abouolia/sticky-sidebar,sticky-sidebar,2018-06
abramenal/cypress-shadow-dom,cypress-shadow-dom,2020-06
abraztsov/react-sweet-progress,react-sweet-progress,2018-12
acarl005/generatorics,generatorics,2017-03
acdlite/flummox,flummox,2017-09
acornjs/acorn-bigint,acorn-bigint,2020-06
acornjs/acorn-logical-assignment,acorn-logical-assignment,2020-08
acornjs/acorn-numeric-separator,acorn-numeric-separator,2020-08
ActiveCampaign/activecampaign-api-nodejs,activecampaign,2019-01
activecampaign/camp-css,camp-css,2020-01
actorapp/ActorSDK-JavaScript,actor-js,2017-01
actorapp/ActorSDK-Web,actor-sdk,2017-01
actra-development-oss/redux-persist-transform-filter-immutable,@actra-development-oss/redux-persist-transform-filter-immutable,2018-07
adamfitzpatrick/tslint-stylish,tslint-stylish,2017-02
addaleax/munkres-js,munkres-js,2017-11
Addepar/ember-charts,ember-charts,2015-10
addthis/fluxthis,fluxthis,2020-07
AdFabConnect/abejs,abe-cli,2017-06
adonespitogo/angular-base64-upload,angular-base64-upload,2018-01
adonisjs/adonis-ignitor,@adonisjs/ignitor,2020-03
adriancarriger/angularfire2-offline,angularfire2-offline,2018-08
adrianheine/acorn-import-meta,acorn-import-meta,2020-06
adrianheine/acorn5-object-spread,acorn5-object-spread,2018-02
adunkman/node-trello,node-trello,2018-04
Adyen/CSE-JS,adyen-cse-js,2019-02
aerojs/aero,aero,2018-03
aexmachina/broccoli-sass-source-maps,broccoli-sass-source-maps,2018-08
aFarkas/webshim,webshim,2017-01
afeld/hubot-trollbot,hubot-trollbot,2019-08
agebrock/tunnel-ssh,tunnel-ssh,2019-01
ageitgey/node-unfluff,unfluff,2019-01
agrueneberg/Corser,corser,2018-08
ahaurw01/gulp-remember,gulp-remember,2019-01
Ahimta/bc-phone-number,bc-css-flags,2019-10
ahmader/node-zoho,node-zoho,2018-08
ahmadnassri/mkdirp-promise,mkdirp-promise,2020-04
ahmadnassri/node-glob-promise,glob-promise,2018-12
ahyiru/phoenix-boilerplate,yrui,2018-08
ai/autoprefixer-core,autoprefixer-core,2015-09
aickin/compression,shrink-ray,2017-05
airbnb/bossbat,bossbat,2018-01
airbrake/node-airbrake,airbrake,2020-04
airtasker/form-schema-compiler,@airtasker/form-schema-compiler,2020-05
ajmalafif/typeface-inter,typeface-inter,2020-12
ajwhite/render-if,render-if,2018-01
akabekobeko/npm-cross-conf-env,cross-conf-env,2017-06
akamai-open/NetstorageKit-Node,netstorageapi,2018-05
akameco/extract-react-intl,extract-react-intl,2019-08
akiran/react-highlight,react-highlight,2018-05
akoenig/gulp-svg2png,gulp-svg2png,2017-02
akonoupakis/jsnbt,jsnbt,2017-03
akserg/ng2-dnd,ng2-dnd,2018-03
akserg/ng2-slim-loading-bar,ng2-slim-loading-bar,2017-11
akserg/ng2-toasty,ng2-toasty,2017-12
aksonov/react-native-experimental-navigation,react-native-experimental-navigation,2017-07
alanrubin/redux-simple-promise,redux-simple-promise,2017-06
alansouzati/jsx-to-string,jsx-to-string,2018-06
aleclarson/glob-regex,glob-regex,2019-01
alecperkey/react-jquery-datatables,react-jquery-datatables,2018-05
aleki/botfather,botfather,2019-11
aleksdp/react-admin-ui,react-admin-ui,2018-06
aleksdp/react-isomorphic-tools,react-isomorphic-tools,2018-04
alekseykulikov/babel-preset-es2015-node5,babel-preset-es2015-node5,2017-01
aleross/angular-segment-analytics,angular-segment-analytics,2017-01
alertifyjs/alertify.js,alertify.js,2017-01
alex-pex/jvectormap,jvectormap-next,2017-01
AlexanderMS/serverless-plugin-tracing,serverless-plugin-tracing,2018-06
AlexanderPavlenko/react-templates-loader,react-templates-loader,2018-06
AlexanderZaytsev/react-native-i18n,react-native-i18n,2019-09
AlexDisler/cordova-splash,cordova-splash,2020-10
alexdunphy/viewport,viewport-dimensions,2018-09
alexeybob/bob-validator,bob-validator,2017-10
alexfernandez/inits,inits,2018-02
alexgibson/notify.js,notifyjs,2020-09
alexgibson/shake.js,shake.js,2020-12
alexgorbatchev/gulp-changed-in-place,gulp-changed-in-place,2018-04
alexgorbatchev/winston-logentries,winston-logentries,2016-11
alexindigo/asynckit,asynckit,2017-06
alexindigo/mixly,mixly,2017-02
alexindigo/webpack-chunk-hash,webpack-chunk-hash,2018-11
alexkuz/markdown-react-js,markdown-react-js,2019-01
alexlafroscia/postcss-retina-bg-img,postcss-retina-bg-img,2017-12
alexlande/react-to-jsx,react-to-jsx,2017-04
alexsasharegan/vue-transmit,vue-transmit,2019-01
AlexSugak/react-svg-pathline,react-svg-pathline,2018-03
AlexWang1987/promisify-bash,promisify-bash,2017-06
AlexWang1987/promisify-fs,promisify-fs,2017-06
alferov/angular-file-saver,angular-file-saver,2017-02
alfhen/vue-cookie,vue-cookie,2017-12
algolia/react-nouislider,react-nouislider,2018-02
Alhadis/Print,print,2018-05
alitelabs/tyx,tyx,2018-12
allenhwkim/angular-jsdoc,angular-jsdoc,2020-05
allenhwkim/angular-template,angular-template,2018-02
allenhwkim/angularjs-google-maps,ngmap,2020-05
AllenWooooo/rc-datetime-picker,rc-datetime-picker,2018-02
alleyinteractive/sasslint-webpack-plugin,sasslint-webpack-plugin,2017-07
allouis/minivents,minivents,2017-08
almende/vis,vis,2019-07
alpertuna/react-metismenu,react-metismenu,2018-12
alphagov/govuk_elements,govuk-elements-sass,2020-04
alphagov/govuk_frontend_toolkit_npm,govuk_frontend_toolkit,2019-08
AlphaT3ch/is.gd,isgd,2017-01
alrra/travis-after-all,travis-after-all,2017-05
altrim/ember-cli-tooltipster,ember-cli-tooltipster,2019-05
alubbe/named-routes,named-routes,2017-01
alxlit/bootstrap-chosen,bootstrap-chosen,2018-10
alykoshin/mini-queue,mini-queue,2017-12
alykoshin/require-dir-all,require-dir-all,2018-02
amaas-fintech/amaas-core-sdk-js,@amaas/amaas-core-sdk-js,2018-04
amanjain325/angular-d3-charts,angular-d3-charts,2018-09
amarkes/br-mask,br-mask,2020-04
amekkawi/cwlogs-writable,cwlogs-writable,2018-03
amelki/json-pretty-html,json-pretty-html,2019-01
amercier/karma-scss-preprocessor,karma-scss-preprocessor,2019-01
ameyms/react-animated-number,react-animated-number,2018-03
amily4555/MasterNG,masterng,2018-08
amir20/phantomjs-node,phantom,2018-07
amobiz/globjoin,globjoin,2017-01
ampersandjs/ampersand-app,ampersand-app,2017-01
ampersandjs/ampersand-collection,ampersand-collection,2018-02
ampersandjs/ampersand-collection-lodash-mixin,ampersand-collection-lodash-mixin,2017-01
AmpersandJS/ampersand-collection-view,ampersand-collection-view,2017-01
ampersandjs/ampersand-dom,ampersand-dom,2017-01
ampersandjs/ampersand-events,ampersand-events,2017-01
AmpersandJS/ampersand-filtered-subcollection,ampersand-filtered-subcollection,2017-01
ampersandjs/ampersand-router,ampersand-router,2017-07
ampersandjs/ampersand-view,ampersand-view,2018-11
anarh/node-sass-import,node-sass-import,2018-06
Andarist/babel-plugin-annotate-pure-calls,babel-plugin-annotate-pure-calls,2018-10
Andifeind/grunt-json,grunt-json,2017-01
andiwilflly/rslider,rslider,2018-08
andlrc/json_merger,json_merger,2017-04
Andr3wHur5t/react-native-keyboard-spacer,react-native-keyboard-spacer,2017-11
AndreasFaust/react-ticker,react-ticker,2019-01
AndreasMadsen/async-hook,async-hook,2017-11
AndreasPizsa/parse-decimal-number,parse-decimal-number,2018-12
andrepolischuk/keycodes,keycodes,2018-02
andresdominguez/elementor,elementor,2017-01
AndrewBanks10/causality-redux,causality-redux,2018-06
AndrewBanks10/react-causality-redux,react-causality-redux,2018-07
andrewbranch/es6-set-proptypes,es6-set-proptypes,2020-10
AndrewPoyntz/time-ago-pipe,time-ago-pipe,2018-04
andrewrk/swig-email-templates,swig-email-templates,2018-04
andreypopp/react-fa,react-fa,2019-11
andreypopp/reactify,reactify,2016-06
andris9/mimelib,mimelib,2018-03
andris9/xoauth2,xoauth2,2017-03
andyjansson/postcss-conditionals,postcss-conditionals,2018-03
andyjansson/postcss-sassy-mixins,postcss-sassy-mixins,2019-03
andywer/ava-ts,ava-ts,2020-07
andywer/drag-mock,drag-mock,2017-03
Angelmmiguel/svgi,svgi,2018-07
angeloashmore/ics-js,ics-js,2017-09
angelozerr/tern-lint,tern-lint,2017-01
angelozerr/tslint-language-service,tslint-language-service,2018-10
angular-actioncable/angular-actioncable,angular-actioncable,2018-02
Angular-cz/karma-json-result-reporter,karma-json-result-reporter,2017-03
angular-gantt/angular-gantt,angular-gantt,2020-09
angular-tools/ng-jsoneditor,ng-jsoneditor,2017-01
angular-ui-tree/angular-ui-tree,angular-ui-tree,2017-12
angular-ui/angular-google-maps,angular-google-maps,2018-11
angular-ui/bootstrap,angular-ui-bootstrap,2019-05
angular-ui/ui-ace,angular-ui-ace,2020-09
angular-ui/ui-calendar,angular-ui-calendar,2020-09
angular-ui/ui-codemirror,angular-ui-codemirror,2019-05
angular-ui/ui-date,angular-ui-date,2017-04
angular-ui/ui-event,angular-ui-event,2019-01
angular-ui/ui-indeterminate,angular-ui-indeterminate,2019-05
angular-ui/ui-leaflet,ui-leaflet,2018-08
angular-ui/ui-mask,angular-ui-mask,2020-09
angular-ui/ui-scrollpoint,angular-ui-scrollpoint,2020-09
angular-ui/ui-select,ui-select,2019-10
angular-ui/ui-sortable,angular-ui-sortable,2020-09
angular-ui/ui-tinymce,angular-ui-tinymce,2020-09
angular-ui/ui-utils,angular-ui-utils,2019-01
angular-ui/ui-validate,angular-ui-validate,2020-09
angular/jasminewd,jasminewd2,2018-04
angular/material2,@angular2-material/core,2018-05
angular/ts2dart,ts2dart,2017-03
angularclass/angular2-conventions-loader,@angularclass/conventions-loader,2017-08
AngularClass/angular2-hmr-loader,@angularclass/hmr-loader,2017-09
angulartics/angulartics,angulartics,2018-06
angulartics/angulartics-google-analytics,angulartics-google-analytics,2018-03
angulartics/angulartics-google-tag-manager,angulartics-google-tag-manager,2018-04
angulartics/angulartics-mixpanel,angulartics-mixpanel,2018-02
animatedjs/animated,animated,2018-11
ankosoftware/ng2-bootstrap-modal,ng2-bootstrap-modal,2018-02
ankurk91/vue-bootstrap-datetimepicker,vue-bootstrap-datetimepicker,2018-10
ankurk91/vue-trumbowyg,vue-trumbowyg,2020-12
anseki/grunt-htmlclean,grunt-htmlclean,2018-07
anseki/gulp-htmlclean,gulp-htmlclean,2018-12
anseki/readline-sync,readline-sync,2015-05
anseki/skeleton-loader,skeleton-loader,2018-07
anteriovieira/vue-swal,vue-swal,2018-12
anthonydugois/grid-template-parser,grid-template-parser,2020-03
antoinejaussoin/redux-saga-testing,redux-saga-testing,2017-12
antoniogarrote/rdfstore-js,rdfstore,2017-01
antonosmond/mock-aws,mock-aws,2020-02
antvis/g2-plugin-slider,@antv/g2-plugin-slider,2019-01
antvis/g2-react,g2-react,2018-02
antyakushev/postcss-for,postcss-for,2017-01
AnujRNair/webpack-extraneous-file-cleanup-plugin,webpack-extraneous-file-cleanup-plugin,2018-11
anvilresearch/webcrypto,@trust/webcrypto,2019-02
any2api/any2api-generator-soap,any2api-generator-soap,2017-03
any2api/any2api-instancedb-redis,any2api-instancedb-redis,2017-03
anyuzer/arc-array,arc-array,2017-07
apache/cordova-plugin-compat,cordova-plugin-compat,2019-04
apache/cordova-plugin-console,cordova-plugin-console,2017-09
apache/cordova-plugin-contacts,cordova-plugin-contacts,2017-11
apaprocki/node-dhcpjs,dhcpjs,2018-02
