repositoryGitHubSlug,npmPackageName,patchedVersion,patchedVersionReleaseDate
MoOx/reduce-css-calc,reduce-css-calc,1.2.5,2016-08-22T06:01:52.789Z
fastify/fastify-multipart,fastify-multipart,1.0.5,2020-02-17T09:56:19.783Z
mde/ejs,ejs,2.5.5,2016-12-06T08:05:37.961Z
brianloveswords/node-jws,jws,3.0.0,2015-04-08T15:21:54.795Z
knowledgecode/date-and-time,date-and-time,0.14.2,2020-12-24T12:38:31.267Z
justmoon/node-extend,extend,3.0.2,2018-07-19T20:28:11.447Z
twbs/bootstrap-sass,bootstrap-sass,3.4.1,2019-02-13T19:00:53.692Z
apiaryio/pitboss,pitboss-ng,2.0.0,2019-11-26T11:42:42.892Z
epeli/underscore.string,underscore.string,3.3.5,2018-10-04T18:21:31.914Z
SimbCo/httpster,httpster,1.1.0,2020-11-20T00:30:23.257Z
highcharts/highcharts-dist,highcharts,6.1.0,2018-04-13T08:58:30.239Z
node-js-libs/cli,cli,1.0.0,2016-08-16T20:37:39.823Z
docsifyjs/docsify,docsify,4.11.4,2020-06-18T18:22:02.216Z
Shopify/koa-shopify-auth,@shopify/koa-shopify-auth,3.1.63,2020-05-25T12:31:59.777Z
sockjs/sockjs-node,sockjs,0.3.20,2020-03-09T19:54:54.000Z
DylanVann/react-native-fast-image,react-native-fast-image,8.3.0,2020-07-17T05:29:37.531Z
git://git.coolaj86.com/coolaj86/atob.js,atob,2.1.0,2018-03-28T04:26:16.338Z
emojione/emojione,emojione,1.3.1,2015-04-13T23:04:35.465Z
scravy/node-macaddress,macaddress,0.2.9,2018-06-23T23:05:41.235Z
gemini-testing/png-img,png-img,3.1.0,2020-11-02T21:47:28.669Z
yargs/yargs-parser,yargs-parser,15.0.1,2020-03-13T20:56:48.713Z
riot/compiler,riot-compiler,2.3.22,2016-01-24T07:38:24.258Z
samdenty99/console-feed,console-feed,2.8.10,2019-07-22T19:56:13.167Z
dojo/dojo,dojo,1.13.1,2018-08-13T04:36:33.807Z
conventional-changelog/standard-version,standard-version,8.0.1,2020-07-12T08:12:55.121Z
zeit/serve-handler,serve-handler,5.0.3,2018-09-24T17:06:25.170Z
scullyio/scully/tree/main/libs/scully,@scullyio/scully,1.0.9,2020-12-24T17:53:18.553Z
eslint/eslint-scope,eslint-scope,4.0.0,2018-06-21T20:41:41.408Z
waysact/webpack-subresource-integrity,webpack-subresource-integrity,1.5.1,2020-10-18T05:47:23.661Z
nicolaskruchten/pivottable,pivottable,2.0.0,2015-11-22T20:39:03.078Z
node-modules/byte,byte,1.4.1,2018-05-15T03:17:05.166Z
puppeteer/puppeteer,puppeteer,1.13.0,2019-03-05T02:41:54.514Z
jsreport/jsreport,jsreport,2.6.0,2019-09-20T18:34:43.930Z
actions/http-client,@actions/http-client,1.0.8,2020-04-23T21:12:11.333Z
dojo/dojox,dojox,1.12.8,2020-03-10T14:53:57.027Z
manuelstofer/json-pointer,json-pointer,0.6.1,2020-09-24T14:09:31.470Z
Macil/browserify-hmr,browserify-hmr,0.4.0,2019-09-29T06:57:02.266Z
gruntjs/grunt,grunt,1.3.0,2020-08-18T19:48:42.957Z
isaacs/chownr,chownr,1.1.0,2018-09-16T00:23:19.205Z
moappi/json2html,node-json2html,1.2.0,2018-02-09T21:01:09.910Z
korzio/djv,djv,2.1.4,2020-12-27T12:05:34.448Z
dojo/dijit,dijit,1.13.8,2020-06-13T12:49:42.484Z
MichalLytek/type-graphql,type-graphql,0.17.6,2019-12-21T20:45:20.643Z
SunilWang/node-os-utils,node-os-utils,1.1.0,2019-10-25T02:51:51.953Z
3rd-Eden/useragent,useragent,2.1.13,2017-03-27T10:58:22.182Z
substack/node-shell-quote,shell-quote,1.6.1,2016-06-17T20:43:12.824Z
appium/appium-chromedriver,appium-chromedriver,2.9.4,2016-11-04T16:58:15.517Z
Clever/saml2,saml2-js,2.0.5,2019-10-16T21:37:52.519Z
tinymce/tinymce-dist,tinymce,5.1.4,2019-12-11T03:56:43.034Z
highlightjs/highlight.js,highlight.js,9.18.2,2020-07-28T14:47:18.247Z
mhart/StringStream,stringstream,0.0.6,2018-05-17T10:22:37.212Z
mafintosh/tar-fs,tar-fs,1.16.2,2018-04-30T12:42:52.997Z
amark/gun,gun,0.2019.416,2019-04-17T00:47:05.810Z
nodemailer/nodemailer,nodemailer,6.4.16,2020-11-12T08:03:58.990Z
yeikos/js.merge,merge,1.2.1,2018-10-27T17:35:18.430Z
C2FO/fast-csv,fast-csv,4.3.6,2020-12-04T05:57:48.969Z
josdejong/jsoneditor,jsoneditor,9.0.2,2020-07-01T09:10:00.419Z
knockout/knockout,knockout,3.5.0,2019-02-21T08:06:05.437Z
unshiftio/millisecond,millisecond,0.1.2,2015-11-20T12:32:12.803Z
unshiftio/querystringify,querystringify,2.0.0,2018-04-19T13:35:42.728Z
floridoo/concat-with-sourcemaps,concat-with-sourcemaps,1.0.6,2018-04-27T11:50:39.246Z
ioBroker/ioBroker.js-controller,iobroker.js-controller,2.0.25,2019-10-11T06:06:33.287Z
IonicaBizau/node-gry,gry,6.0.0,2020-04-20T12:12:35.102Z
showdownjs/showdown,showdown,1.9.1,2019-11-02T23:09:28.799Z
jonschlinkert/randomatic,randomatic,3.0.0,2017-12-28T22:58:29.373Z
LionC/express-basic-auth,express-basic-auth,1.1.7,2019-04-22T21:37:27.963Z
knsv/mermaid,mermaid,8.2.3,2019-07-22T12:25:30.291Z
caolan/forms,forms,1.3.0,2016-11-16T06:37:18.338Z
kelektiv/node.bcrypt.js,bcrypt,5.0.0,2020-06-08T10:01:24.007Z
medialize/URI.js,urijs,1.19.4,2020-12-23T15:55:59.205Z
jwtk/njwt,njwt,1.0.0,2019-03-01T19:24:49.840Z
kpdecker/jsdiff,diff,3.5.0,2018-03-05T04:22:54.209Z
protobufjs/protobuf.js,protobufjs,5.0.3,2018-05-16T09:21:38.056Z
faisalman/ua-parser-js,ua-parser-js,0.7.22,2020-09-12T09:15:07.793Z
probablyup/markdown-to-jsx,markdown-to-jsx,6.11.4,2020-05-22T05:25:05.817Z
youzan/vant,vant,2.1.8,2019-08-29T12:43:45.359Z
airtable/airtable.js,airtable,0.7.2,2019-10-28T20:04:37.027Z
endojs/endo,ses,0.6.3,2019-10-02T19:18:11.922Z
npm/node-semver,semver,4.3.2,2015-03-27T01:26:08.892Z
auth0/node-auth0,auth0,2.27.1,2020-07-24T16:04:55.038Z
mongodb/node-mongodb-native,mongodb,3.1.13,2019-01-23T19:33:22.072Z
mmckegg/notevil,notevil,1.3.2,2019-08-29T06:09:16.148Z
Trott/trim,trim,0.0.3,2020-11-05T00:06:16.543Z
restify/node-restify,restify,4.1.0,2016-05-23T23:44:28.230Z
auth0/passport-wsfed-saml2,passport-wsfed-saml2,3.0.5,2017-12-22T17:26:00.218Z
jakubpawlowicz/clean-css,clean-css,4.1.11,2018-03-06T13:54:15.390Z
MithrilJS/mithril.js,mithril,1.1.7,2019-09-23T21:07:38.979Z
Nozbe/WatermelonDB,@nozbe/watermelondb,0.15.1,2020-06-03T12:11:47.007Z
bpmn-io/diagram-js-direct-editing,diagram-js-direct-editing,1.4.3,2019-06-13T06:44:27.207Z
jcubic/jquery.terminal,jquery.terminal,1.21.0,2018-08-26T12:27:33.126Z
hughsk/flat,flat,5.0.1,2020-08-06T15:18:07.976Z
unshiftio/url-parse,url-parse,1.4.3,2018-07-29T12:44:10.337Z
sindresorhus/mem,mem,4.0.0,2018-08-27T17:33:38.386Z
apache/cordova-plugin-inappbrowser,cordova-plugin-inappbrowser,3.1.0,2019-07-11T15:49:22.430Z
mathjax/MathJax,mathjax,2.7.4,2018-04-04T13:00:05.167Z
browserify/static-eval,static-eval,2.0.0,2017-10-05T08:59:06.417Z
ipfs/aegir,aegir,21.10.1,2020-05-05T17:32:55.500Z
nuxt-community/devalue,@nuxt/devalue,1.2.3,2019-04-14T20:44:52.839Z
verdaccio/verdaccio,verdaccio,3.12.0,2019-05-17T15:06:42.126Z
standard-things/esm,esm,3.1.0,2019-01-16T16:10:53.006Z
zamotany/logkitty,logkitty,0.7.1,2020-04-07T09:43:24.073Z
electron/electron,electron,7.2.4,2020-04-29T20:38:08.932Z
auth0/auth0.js,auth0-js,9.13.2,2020-04-09T08:47:41.888Z
jonschlinkert/kind-of,kind-of,6.0.3,2020-01-16T16:59:19.808Z
vesse/node-ldapauth-fork,ldapauth-fork,2.3.3,2015-08-14T07:51:59.870Z
micromatch/braces,braces,2.3.1,2018-02-18T04:16:49.881Z
senecajs/seneca,seneca,3.9.0,2019-05-06T15:47:28.934Z
mqttjs/MQTT.js,mqtt,1.0.0,2015-01-13T09:31:14.057Z
hokaccha/node-jwt-simple,jwt-simple,0.5.3,2018-09-20T04:00:22.429Z
npm/bin-links,bin-links,1.1.6,2019-12-11T18:49:05.771Z
aldeed/simpl-schema,simpl-schema,1.10.2,2020-10-06T19:23:24.685Z
garycourt/uri-js,uri-js,3.0.0,2017-03-24T14:45:54.970Z
expressjs/serve-static,serve-static,1.7.2,2015-01-03T04:35:34.564Z
hapijs/content,content,3.0.7,2018-03-01T09:06:06.637Z
nodeca/js-yaml,js-yaml,3.13.0,2019-03-20T19:16:31.897Z
joyent/node-sshpk,sshpk,1.14.1,2018-03-13T00:12:08.258Z
buefy/buefy,buefy,0.7.2,2019-01-16T22:55:47.016Z
auth0/express-jwt,express-jwt,6.0.0,2020-06-29T19:46:41.838Z
ipfs/js-libp2p-secio,libp2p-secio,0.9.0,2018-01-07T16:27:01.152Z
sonicdoe/detect-character-encoding,detect-character-encoding,0.3.1,2017-03-10T16:52:16.777Z
felixrieseberg/windows-build-tools,windows-build-tools,1.0.0,2016-12-22T20:23:41.878Z
remy/undefsafe,undefsafe,2.0.3,2020-02-17T18:56:26.726Z
kevva/decompress,decompress,4.2.1,2020-04-01T14:00:54.980Z
christian-bromann/rgb2hex,rgb2hex,0.1.6,2018-07-05T09:41:39.684Z
codecov/codecov-node,codecov,3.6.2,2020-01-23T05:27:15.288Z
giggio/node-chromedriver,chromedriver,2.26.1,2016-12-20T16:59:36.759Z
juliangruber/brace-expansion,brace-expansion,1.1.7,2017-04-07T08:13:51.907Z
josdejong/typed-function,typed-function,0.10.6,2017-11-18T19:17:15.048Z
pofider/node-script-manager,script-manager,0.9.0,2019-08-27T19:15:18.694Z
mathisonian/command-exists,command-exists,1.2.4,2018-04-12T23:17:57.956Z
npm/node-tar,tar,2.2.2,2019-05-15T00:44:22.633Z
pillarjs/send,send,0.11.1,2015-01-20T16:27:08.360Z
rse/node-prince,prince,1.4.7,2017-12-22T09:11:41.684Z
chartjs/Chart.js,chart.js,2.9.4,2020-10-18T18:24:37.338Z
ioBroker/ioBroker.admin,iobroker.admin,3.6.12,2019-11-03T23:32:35.129Z
